title,price,data,image
CAMELLIA,58800,,https://ridhimehra.com/cdn/shop/files/RM_13868.jpg?v=1777888946&width=1080
Leher Anarkali Set,89900,Bestseller,https://ridhimehra.com/cdn/shop/files/UntitledCapture0428copy.jpg?v=1758869088&width=1080
Fasana Anarkali Set,83400,Bestseller,https://ridhimehra.com/cdn/shop/files/UntitledCapture0640copy.jpg?v=1758868919&width=1080
Dilbar Anarkali Set,83400,,https://ridhimehra.com/cdn/shop/files/7_d46d94f3-bea6-4501-a5e3-82be2171fea2.jpg?v=1767181242&width=1080
Ranjhna Anarkali Set,89700,Bestseller,https://ridhimehra.com/cdn/shop/files/UntitledCapture0699copy.jpg?v=1758868750&width=1080
Weft Anarkali Set-RTS,89700,,https://ridhimehra.com/cdn/shop/files/RM26-02-251101_235eb151-f97a-41ae-b896-633fc3e8a630.jpg?v=1757595361&width=1080
Pareesa Anarkali Set-RTS,252600,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9895_7c2ddf67-2e93-4406-9798-863416a492b4.jpg?v=1757595458&width=1080
Ibtida Anarkali Set-RTS,252600,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9456_7a3a3a85-f205-4963-a61e-cb63a633748c.jpg?v=1757595486&width=1080
Fanon Anarkali Set-RTS,84300,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9574_5054b112-3aeb-4bbe-a603-bbacafa3e9aa.jpg?v=1757595491&width=1080
Tehseen Anarkali Set-RTS,157200,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9592_48a347d5-9c76-4bda-9ac4-87544bce7229.jpg?v=1757595494&width=1080
Weft Anarkali Set,89700,Bestseller,https://ridhimehra.com/cdn/shop/files/RM26-02-251101.jpg?v=1753093277&width=1080
Ornate Anarkali Set,89700,,https://ridhimehra.com/cdn/shop/files/RM26-02-250620.jpg?v=1753093289&width=1080
Indira Anarkali Set,72700,,https://ridhimehra.com/cdn/shop/files/RM24-09-2463119.jpg?v=1753093349&width=1080
Esha gupta in Saaja,83400,,https://ridhimehra.com/cdn/shop/files/069A2175.jpg?v=1730873206&width=1080
Hanna Khan in Fanon Anarkali set,84300,,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2024-10-28at10.22.22AM_1.jpg?v=1730871724&width=1080
Zarqaa Anarkali set,81300,,https://ridhimehra.com/cdn/shop/files/25-06-24RidhiMehra9373.jpg?v=1755858310&width=1080
Hymn Anarkali Set,68500,,https://ridhimehra.com/cdn/shop/files/1_f06af49d-8484-40b8-afda-b328107e4b9b.jpg?v=1726126449&width=1080
Sonakshi Sinha in Ibtida Anarkali set,252600,,https://ridhimehra.com/cdn/shop/files/Sonakshi-_-Zaheer-7th-Sept-240221-insta.jpg?v=1726061028&width=1080
Aditi Rao in Lien,79200,,https://ridhimehra.com/cdn/shop/files/ADITI1Acopy.jpg?v=1723013974&width=1080
MRUNAL THAKUR IN SWAY ANARKALI SET,84300,,https://ridhimehra.com/cdn/shop/files/Mrunal_Thakur_51d0b0b4-7451-4e95-985d-c34ae7fea025.jpg?v=1755858336&width=1080
Anjum Short Anarkali Set,77100,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra0564.jpg?v=1753093390&width=1080
Pareesa Anarkali set,252600,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9895.jpg?v=1755858342&width=1080
Banafsha Anarkali set,79200,Bestseller,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9695.jpg?v=1756900904&width=1080
Yaqoob Anarkali set,77100,,https://ridhimehra.com/cdn/shop/files/front_e7df157f-bd3e-4a13-99a3-d381dc1f9a45.jpg?v=1753093401&width=1080
Fankaar Anarkali set,83400,,https://ridhimehra.com/cdn/shop/files/front_746e85b0-af4e-4002-99a9-fdae89946c40.jpg?v=1753093405&width=1080
Qasida Short Anarkali Set,84300,,https://ridhimehra.com/cdn/shop/files/front_bc5c420b-e822-425b-9118-df58942523d2.jpg?v=1753093427&width=1080
Ibtida Anarkali set,252600,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9456.jpg?v=1753093428&width=1080
Zarqaa Anarkali set,81300,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9505.jpg?v=1755858353&width=1080
Nafasat Anarkali set,81300,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9815.jpg?v=1755858355&width=1080
Fanon Anarkali set,84300,,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9574.jpg?v=1755858357&width=1080
Aalam Anarkali set,84300,,https://ridhimehra.com/cdn/shop/files/front_2.jpg?v=1755858358&width=1080
Tehseen Anarkali Set,157200,Bestseller,https://ridhimehra.com/cdn/shop/files/25-06-24_Ridhi_Mehra9592.jpg?v=1753093436&width=1080
Naqsh Anarkali Set,79200,,https://ridhimehra.com/cdn/shop/files/Front.jpg?v=1753093437&width=1080
FLAIR ANARKALI SET,83400,,https://ridhimehra.com/cdn/shop/files/RM21-11-232764.jpg?v=1750742620&width=1080
FLAIR ANARKALI SET,83400,,https://ridhimehra.com/cdn/shop/files/RM21-11-233664_9c3a5f24-236d-420c-a6bc-971250e214ba.jpg?v=1750742622&width=1080
SWAY ANARKALI SET,84300,,https://ridhimehra.com/cdn/shop/files/RM21-11-232519.jpg?v=1750742627&width=1080
FLAIR ANARKALI SET,83400,,https://ridhimehra.com/cdn/shop/files/Ridhi-mehra-Ivory_Printed_Chiffon_Long_Anarkali_Paired_With_Net_Embroidered_Dupatta.jpg?v=1755858553&width=1080
DAZZLE ANARKALI JACKET SET,89700,,https://ridhimehra.com/cdn/shop/files/RM-D2-61191_198d293a-61d0-4f49-8193-5706aad76864.jpg?v=1755858561&width=1080
SWAY ANARKALI SET,84300,,https://ridhimehra.com/cdn/shop/files/Ridhi-Mehra-Dusky_Pink_Fine_Silk_Embroidered_Long_Anarkali.jpg?v=1755858587&width=1080
Hasrat,157200,,https://ridhimehra.com/cdn/shop/products/RM-279_4250ac3f-7ab3-49ca-8300-0e4aa504ee7b.jpg?v=1755858677&width=1080
Hasrat In Navy,157200,,https://ridhimehra.com/cdn/shop/files/RIDHIMEHRA-NAVY_GEORGETTE_EMBROIDERED_LONG_ANARKALI.jpg?v=1695808142&width=1080
Saaja,83400,,https://ridhimehra.com/cdn/shop/products/RM--Navy_Printed_Chiffon_Full_Length_Anarkali.jpg?v=1696579353&width=1080
Mabrooka,83400,,https://ridhimehra.com/cdn/shop/products/RIDHI-MEHRA---Red_Printed_Chiffon_Embroidered_Full_Length_Anarkali.jpg?v=1696577872&width=1080
Faanee,83400,,https://ridhimehra.com/cdn/shop/products/RM--Yellow_Chiffon_Multi_Colored_Embroidered_Anarkali.jpg?v=1696575682&width=1080
Jaajim,83400,,https://ridhimehra.com/cdn/shop/products/RM--Dusky_Pink_Fine_Silk_Long_Anarkali.jpg?v=1696572852&width=1080
Maahrukh,83400,,https://ridhimehra.com/cdn/shop/products/RM-Dark_Champagne_Fine_Silk_Embroidered_Full_Length_Anarkali.jpg?v=1696570471&width=1080
Dafiya,95200,,https://ridhimehra.com/cdn/shop/products/RM-Ivory_Fine_Silk_Full_Length_Anarkali.jpg?v=1696573403&width=1080
Terra,72700,,https://ridhimehra.com/cdn/shop/products/Ridhi-Mehra-21105.jpg?v=1755858774&width=1080
Wynne,83400,,https://ridhimehra.com/cdn/shop/products/Ridhi-Mehra-Deep_fucshia_thread_embroidered_long_anarkali.jpg?v=1696592607&width=1080
Mira Rajput Kapoor in Posie,79200,,https://ridhimehra.com/cdn/shop/products/1_35ecd44b-9db8-44a5-ad20-ae564ddbda94.jpg?v=1660717434&width=1080
ALIA BHATT IN FLORIAN,66400,,https://ridhimehra.com/cdn/shop/products/1_4fa09103-43a4-4200-9707-20591d723cfb.jpg?v=1755858795&width=1080
ARUM,72700,,https://ridhimehra.com/cdn/shop/products/RM-Embroidered_silk_short_Anarkali_and_embroidered_garara.jpg?v=1696936770&width=1080
AMBROSIA IN BLUE,66400,,https://ridhimehra.com/cdn/shop/products/62.jpg?v=1650544408&width=1080
AMBROSIA IN RED,66400,,https://ridhimehra.com/cdn/shop/products/RM-Embroidered-printed-silk_short_Anarkali_and_garara_paired_with-net_dupatta.jpg?v=1697027755&width=1080
FLORA,83400,,https://ridhimehra.com/cdn/shop/products/85.jpg?v=1650543969&width=1080
LILLIAN,72700,,https://ridhimehra.com/cdn/shop/products/92.jpg?v=1650543904&width=1080
ELIZA,72700,,https://ridhimehra.com/cdn/shop/products/70.jpg?v=1650543897&width=1080
AMBROSIA IN LILAC,66400,,https://ridhimehra.com/cdn/shop/products/14_c3ff6230-03de-4c16-a5e4-837ca35d3284.jpg?v=1648474720&width=1080
FLORIAN IN RED,66400,,https://ridhimehra.com/cdn/shop/products/RM-Embroidered-printed-silk_short_Anarkali_and_garara_paired_with_net_dupatta.jpg?v=1697025990&width=1080
COHO,209900,,https://ridhimehra.com/cdn/shop/products/RM-Embroidered_organza_Anarkali.jpg?v=1696661741&width=1080
POSIE,79200,Bestseller,https://ridhimehra.com/cdn/shop/products/RM-Embroidered-silk-ruched_Anarkali_paired_with_net_dupatta..jpg?v=1696676800&width=1080
Athiya Shetty In ZAHIDA,72700,,https://ridhimehra.com/cdn/shop/products/Ridhi-Mehra1.jpg?v=1644230619&width=1080
Aayah,79200,,https://ridhimehra.com/cdn/shop/products/52_1bac6f70-45d2-4d63-94d1-d116e13aa515.jpg?v=1641636425&width=1080
Afsa,79200,,https://ridhimehra.com/cdn/shop/products/11_aaf7c596-fe59-47e8-b3cd-9518dcfa0291.jpg?v=1641635301&width=1080
Dildar,52800,,https://ridhimehra.com/cdn/shop/products/11_1_17dad438-52dc-4a15-83fa-d706e22debe4.png?v=1637995850&width=1080
Freshta,79200,Bestseller,https://ridhimehra.com/cdn/shop/products/RM-Embroidered_silk_ruched_anarkali_paired_with_net_dupatta..jpg?v=1755858896&width=1080
KAREENA KAPOOR  KHAN  IN MEHRY,156900,Bestseller,https://ridhimehra.com/cdn/shop/products/2_70c2eac7-4211-4a03-a4c2-d5d02efdfc79.png?v=1629813728&width=1080
ZARA,95200,,https://ridhimehra.com/cdn/shop/products/19_5f92d40f-6fe3-45b5-9484-b4189536eaef.png?v=1625036474&width=1080
MADHURI DIXIT IN MARTHA,72700,,https://ridhimehra.com/cdn/shop/products/Madhuri-Dixit.png?v=1611904442&width=1080
MEHRY,156900,Bestseller,https://ridhimehra.com/cdn/shop/products/25_acc2b869-5f55-4e05-8021-083ee5cbf287.png?v=1611488335&width=1080
ZAINA,79200,,https://ridhimehra.com/cdn/shop/products/Ridhi-Mehra-Ochre_yellow_chiffon_embroidered_anarkali.png?v=1696660733&width=1080
FINNA,209900,Bestseller,https://ridhimehra.com/cdn/shop/products/Ridhi_mehra-Ivory_net_embroidered_anarkali.png?v=1741243492&width=1080
ZAHIDA,72700,,https://ridhimehra.com/cdn/shop/products/6_2.png?v=1611484065&width=1080
ALIZA,84300,,https://ridhimehra.com/cdn/shop/products/RM-Ivory_jewelled_anarkali_paired_with_a_net_dupatta.png?v=1696829252&width=1080
MARTHA,72700,,https://ridhimehra.com/cdn/shop/products/6_3.png?v=1610447080&width=1080
MARTHA,72700,,https://ridhimehra.com/cdn/shop/products/11_938721cd-848c-45cb-ac6f-887effc99f65.png?v=1610446954&width=1080
Zereen,80200,,https://ridhimehra.com/cdn/shop/products/1_bb2cab3f-1997-4fb2-8ad7-0e468b8ec5a8.png?v=1608103456&width=1080
Tazmeen,68500,,https://ridhimehra.com/cdn/shop/products/35.png?v=1605873114&width=1080
TINA IN LINA,62200,,https://ridhimehra.com/cdn/shop/products/11_02dd9bd5-e8cd-4dc6-9349-4898841c2d1b.png?v=1604654928&width=1080
SUMMIYYA IN MARTHA,72700,,https://ridhimehra.com/cdn/shop/products/36_1.png?v=1604487398&width=1080
MARTHA,72700,,https://ridhimehra.com/cdn/shop/products/37_79d7a5b8-9876-457e-bde7-8a333aff6036.png?v=1605861407&width=1080
