title,price,image
BLOOM,52800,https://ridhimehra.com/cdn/shop/files/RM_12554.jpg?v=1777891025&width=1000
IRENE,52800,https://ridhimehra.com/cdn/shop/files/RM_12612.jpg?v=1777891009&width=1000
Jazz Top Pants Set,42100,https://ridhimehra.com/cdn/shop/files/3_f9c86dc1-3d9b-4012-ab8f-947a1fe99f66.jpg?v=1744451042&width=1000
Chorus Top Pants Set,42100,https://ridhimehra.com/cdn/shop/files/3_4e7b6d66-1533-4c65-9b61-43d54740759b.jpg?v=1744451041&width=1000
Sonic Top Pants Set,41000,https://ridhimehra.com/cdn/shop/files/3_91af6971-320a-4595-98c0-f3906e341954.jpg?v=1726123489&width=1000
Glide Top Pants Set,31600,https://ridhimehra.com/cdn/shop/files/2_f0818894-57fe-464d-a3f1-65b73b5815b2.jpg?v=1726122964&width=1000
Riff Shirt Pants Set,37900,https://ridhimehra.com/cdn/shop/files/2_539f1b5a-0f05-4d9e-b61b-19817ecca1e8.jpg?v=1744451040&width=1000
Sway Shirt Pants Set,37900,https://ridhimehra.com/cdn/shop/files/2_24450b37-7037-48fb-b21a-4233200535df.jpg?v=1744451039&width=1000
Melody Frill Top Pants Set,37900,https://ridhimehra.com/cdn/shop/files/3_beee2654-407a-46be-ba48-829b370a03c9.jpg?v=1744451038&width=1000
Chime Shirt Pants Set,37900,https://ridhimehra.com/cdn/shop/files/2_73437d6d-2edf-47ac-ae08-f78c2f2a74ac.jpg?v=1744451036&width=1000
Bliss Shirt Pants Set,34700,https://ridhimehra.com/cdn/shop/files/2_ecb53376-239e-42a9-924c-8de7c582d221.jpg?v=1744451035&width=1000
Swing Shirt Pants Set,34700,https://ridhimehra.com/cdn/shop/files/2_e5d64c3f-cde4-4a44-ac45-e5249d73f48c.jpg?v=1744451034&width=1000
RHAPSODY SHARARA JACKET SET,136200,https://ridhimehra.com/cdn/shop/files/RM-Ivory_Georgette_Blouse_and_Flared_Pants_Paired_With_Organza_3d_Embroidered_Long_Jacket_2236cb12-6359-4afe-95e5-b423ac44fcd5.jpg?v=1755858363&width=1000
Green Silk Short Kurta With Tulip Pants,41000,https://ridhimehra.com/cdn/shop/files/2_65eefcf2-87da-40c7-b2f9-28267622e3ed.jpg?v=1746708158&width=1000
Blue Silk Short Kurta With Tulip Pants,41000,https://ridhimehra.com/cdn/shop/files/3_88e01da3-dc80-4be6-a6d7-f78426506f77.jpg?v=1746708159&width=1000
Ivory Silk Short Kurta With Tulip Pants,41000,https://ridhimehra.com/cdn/shop/files/2_1aee79d8-8f9a-42d8-afc8-fafb60cdb716.jpg?v=1755858394&width=1000
Yellow Silk Short Kurta With Tulip Pants,41000,https://ridhimehra.com/cdn/shop/files/2_512efdaf-9d4a-47f9-a884-fdee90c13165.jpg?v=1755858396&width=1000
Red Silk Short Kurta With Tulip Pants,41000,https://ridhimehra.com/cdn/shop/files/2_e6142835-7942-4456-ad94-afd1c0777dbf.jpg?v=1755858398&width=1000
Fuschia Silk Short Kurta With Tulip Pants,41000,https://ridhimehra.com/cdn/shop/files/RIDHI-MEHRA-04-05-2439747.jpg?v=1755858400&width=1000
Blue Oversized Shirt With Flared Pants,26200,https://ridhimehra.com/cdn/shop/files/3_682726f9-9f4a-4194-a740-0364874f7400.jpg?v=1746708483&width=1000
Red Chanderi Shirt With Flared Pants,26200,https://ridhimehra.com/cdn/shop/files/2_1f397ba5-8b41-44d5-aea2-b4498b663df1.jpg?v=1746708485&width=1000
